311 Call Center,Customer Service,Customer Service,YES
Brush,Solid Waste Management,Solid Waste,YES
Clean and Green,Parks and Recreation,Parks & Recreation,YES
Clean and Green Natural Areas,Parks and Recreation,Parks & Recreation,YES
Code Enforcement,Code Enforcement Services,DSD/Code Enforcement,YES
Code Enforcement (IntExp),Code Enforcement Services,DSD/Code Enforcement,YES
Code Enforcement (Internal),"",DSD/Code Enforcement,YES
Dangerous Premise,Code Enforcement Services,DSD/Code Enforcement,YES
Dangerous Premise (IntExp),Code Enforcement Services,DSD/Code Enforcement,YES
Director's Office Horizontal,Trans & Cap Improvements,Trans & Cap Improvements,YES
District 1,City Council,City Council,NO
District 10,City Council,City Council,NO
District 2,City Council,City Council,NO
District 3,City Council,City Council,NO
District 6,City Council,City Council,NO
District 7,City Council,City Council,NO
District 8,City Council,City Council,NO
District 9,City Council,City Council,NO
Engineering Division,Development Services,DSD/Code Enforcement,YES
Facility License,Metro Health,Metro Health,YES
Field Operations,Animal Care Services,Animal Care Services,YES
Food Establishments,Metro Health,Metro Health,YES
Graffiti,Code Enforcement Services,DSD/Code Enforcement,YES
Graffiti (IntExp),Code Enforcement Services,DSD/Code Enforcement,YES
Miscellaneous,Solid Waste Management,Solid Waste,YES
Reservations,Parks and Recreation,Parks & Recreation,YES
Shops,Parks and Recreation,Parks & Recreation,YES
Shops (Internal),Parks and Recreation,Parks & Recreation,YES
Signals,Trans & Cap Improvements,Trans & Cap Improvements,YES
Signs and Markings,Trans & Cap Improvements,Trans & Cap Improvements,YES
Solid Waste,Solid Waste Management,Solid Waste,YES
Storm Water,Trans & Cap Improvements,Trans & Cap Improvements,YES
Storm Water Engineering,Trans & Cap Improvements,Trans & Cap Improvements,YES
Streets,Trans & Cap Improvements,Trans & Cap Improvements,YES
Trades,Parks and Recreation,Parks & Recreation,YES
Traffic Engineering Design,Trans & Cap Improvements,Trans & Cap Improvements,YES
Tree Crew,Parks and Recreation,Parks & Recreation,YES
Vector,Metro Health,Metro Health,YES
Waste Collection,Solid Waste Management,Solid Waste,YES
